Date,Open,High,Low,Close,Adj Close,Volume
12/19/2018,77.152496,79.226501,74.158997,74.753998,74.753998,175844000
12/20/2018,74.199997,75.474998,71.634499,73.041496,73.041496,199836000
12/21/2018,73.249496,74,68.197998,68.872498,68.872498,272806000
12/24/2018,67.300003,69.801498,65.349998,67.197998,67.197998,144400000
12/26/2018,68.444504,73.657997,68.150497,73.544998,73.544998,208236000
12/27/2018,72.709999,73.449997,69.515503,73.082001,73.082001,194440000
12/28/2018,73.667503,75.6735,72.449997,73.901001,73.901001,176580000
12/31/2018,75.540001,76.038002,74.349998,75.098503,75.098503,139090000
1/2/2019,73.260002,77.667999,73.046501,76.956497,76.956497,159662000
1/3/2019,76.000504,76.900002,74.855499,75.014,75.014,139512000
1/4/2019,76.5,79.699997,75.915497,78.769501,78.769501,183652000
1/7/2019,80.115501,81.727997,79.459503,81.475502,81.475502,159864000
1/8/2019,83.234497,83.830498,80.830498,82.829002,82.829002,177628000
1/9/2019,82.649002,83.389999,82.07,82.971001,82.971001,126976000
1/10/2019,82.050499,83.162498,81.081001,82.810997,82.810997,130154000
1/11/2019,82.027496,83.014503,81.810997,82.028,82.028,93724000
1/14/2019,80.75,82.410004,79.7575,80.860497,80.860497,120118000
1/15/2019,81.599998,83.758003,81.300499,83.727997,83.727997,119970000
1/16/2019,84.210999,85.25,83.793999,84.189003,84.189003,127338000
1/17/2019,84,85.008499,83.875,84.661003,84.661003,84178000
1/18/2019,85.599998,85.809998,84.577003,84.809998,84.809998,120410000
1/22/2019,84.050003,84.093498,80.510002,81.608498,81.608498,128336000
1/23/2019,82.800003,82.871498,80.599998,82.000999,82.000999,104504000
1/24/2019,82.053497,82.862999,81.588997,82.746498,82.746498,81798000
1/25/2019,83.525002,84.174004,83.080498,83.528503,83.528503,98918000
1/28/2019,82.179497,82.25,80.704498,81.894501,81.894501,96754000
1/29/2019,81.563499,81.619003,79.536003,79.694,79.694,92656000
1/30/2019,81.150002,83.847504,80.984001,83.5215,83.5215,115676000
1/31/2019,84.642502,86.820503,83.954002,85.936501,85.936501,218206000
2/1/2019,81.944,83.653,81.100502,81.311501,81.311501,230124000
2/4/2019,81.150002,82.481499,80.675003,81.665497,81.665497,98582000
2/5/2019,82.167,83.263,82.125,82.940498,82.940498,89062000
2/6/2019,83.537498,83.612999,81.667,82.013,82.013,78798000
2/7/2019,81.25,81.277,79.6455,80.718498,80.718498,92532000
2/8/2019,79.300003,79.429497,78.337997,79.411003,79.411003,113150000
2/11/2019,80.049004,80.4645,79.300003,79.550003,79.550003,66346000
2/12/2019,80.199997,81.970001,79.944,81.900497,81.900497,97172000
2/13/2019,82.349998,82.819,81.855499,82,82,71206000
2/14/2019,81.224998,81.894997,80.303001,81.1325,81.1325,82410000
2/15/2019,81.392998,81.445503,80.224998,80.397499,80.397499,86878000
2/19/2019,80.050003,81.699997,80.028,81.378998,81.378998,73634000
2/20/2019,81.5,81.746498,80.505997,81.105003,81.105003,66752000
2/21/2019,80.9925,81.178001,80.045502,80.972,80.972,69668000
2/22/2019,81.175003,81.747002,81.058502,81.578003,81.578003,61924000
2/25/2019,82.072502,82.730003,81.519501,81.650002,81.650002,63690000
2/26/2019,81.299004,81.999496,80.806503,81.82,81.82,53316000
2/27/2019,81.408997,82.0905,80.754997,82.054497,82.054497,62976000
2/28/2019,81.762497,82.588501,81.691498,81.991501,81.991501,60518000
3/1/2019,82.7565,83.712997,82.550003,83.586502,83.586502,99498000
3/4/2019,84.25,85.471497,83.718002,84.808502,84.808502,123348000
3/5/2019,85.147499,85.389999,84.4505,84.621498,84.621498,73630000
3/6/2019,84.7985,84.887497,83.414001,83.447502,83.447502,79920000
3/7/2019,83.3685,83.487503,81.025497,81.297501,81.297501,99140000
3/8/2019,80.2005,81.136002,79.328499,81.040001,81.040001,93340000
3/11/2019,81.306,83.614502,81.300499,83.530998,83.530998,77528000
3/12/2019,83.449997,84.213501,83.049004,83.654999,83.654999,72290000
3/13/2019,84.150002,85,83.967499,84.540497,84.540497,71040000
3/14/2019,84.559998,85.099998,84.217003,84.310997,84.310997,58932000
3/15/2019,85.150002,85.940002,84.656502,85.617996,85.617996,151018000
3/18/2019,85.635002,87.5,85.6315,87.107498,87.107498,108582000
3/19/2019,87.675499,89.208,87.675499,88.092499,88.092499,127284000
3/20/2019,88.497002,89.974998,88.351501,89.863503,89.863503,125312000
3/21/2019,89.813004,91.1875,89.363998,90.962997,90.962997,115356000
3/22/2019,90.508499,90.948997,88.155502,88.238503,88.238503,127260000
3/25/2019,87.889503,89.134003,87.375,88.712997,88.712997,102076000
3/26/2019,89.650002,90.288498,88.667999,89.188004,89.188004,97318000
3/27/2019,89.206497,89.375,87.283997,88.285004,88.285004,86496000
3/28/2019,88.5,88.8965,87.6735,88.670998,88.670998,60860000
3/29/2019,89.329002,89.642998,88.831497,89.037498,89.037498,66416000
4/1/2019,90.005501,90.783501,89.936501,90.709503,90.709503,84776000
4/2/2019,90.551003,91,90.255997,90.698997,90.698997,68962000
4/3/2019,91.335999,91.5,90.481003,91.035004,91.035004,78522000
4/4/2019,91.032501,91.4375,90.209999,90.943001,90.943001,72478000
4/5/2019,91.449997,91.929001,91.259499,91.863998,91.863998,72810000
4/8/2019,91.661499,92.510002,91.255501,92.492996,92.492996,75056000
4/9/2019,92.274498,92.654503,91.588997,91.792,91.792,74288000
4/10/2019,92.050003,92.400002,91.440498,92.366501,92.366501,59280000
4/11/2019,92.434998,92.497498,92.015503,92.203499,92.203499,53096000
4/12/2019,92.419998,92.574997,92.065002,92.153,92.153,62288000
4/15/2019,92.099998,92.342499,90.945,92.2435,92.2435,74488000
4/16/2019,92.567497,93.488503,92.400002,93.152,93.152,60892000
4/17/2019,93.649498,93.823502,93.022003,93.240997,93.240997,57870000
4/18/2019,93.439499,93.541,92.973999,93.084503,93.084503,54998000
4/22/2019,92.769997,94.420998,92.281998,94.365501,94.365501,67476000
4/23/2019,94.559998,96.462997,94.478996,96.188499,96.188499,92808000
4/24/2019,96.25,96.484497,94.907997,95.087502,95.087502,73516000
4/25/2019,95.849998,96.122498,95.015503,95.112503,95.112503,121982000
4/26/2019,96.449997,97.550003,94.900002,97.531502,97.531502,168652000
4/29/2019,97.449997,97.817001,96.704498,96.921501,96.921501,80426000
4/30/2019,96.504997,96.7855,95.347504,96.325996,96.325996,70120000
5/1/2019,96.654503,97.181999,95.527496,95.575996,95.575996,62340000
5/2/2019,95.666496,96.077499,94.093498,95.041,95.041,79258000
5/3/2019,97.449997,98.220001,96.800003,98.123001,98.123001,127632000
5/6/2019,95.899002,97.949997,95.525002,97.527496,97.527496,108356000
5/7/2019,96.999496,97.455002,95.168999,96.050003,96.050003,118042000
5/8/2019,95.943497,96.768501,95.5,95.888496,95.888496,81572000
5/9/2019,95,95.470001,93.800003,94.9935,94.9935,106166000
5/10/2019,94.900002,95.189499,92.800003,94.499001,94.499001,114360000
5/13/2019,91.828003,92.327003,90.900002,91.134003,91.134003,115668000
5/14/2019,91.974998,92.622002,90.787498,92.005997,92.005997,92582000
5/15/2019,91.397499,93.721497,91.150002,93.557503,93.557503,93852000
5/16/2019,94.296997,95.875504,94.114502,95.378502,95.378502,94156000
5/17/2019,94.652496,95.526497,93.366501,93.449997,93.449997,94732000
5/20/2019,92.634499,93.389,91.777,92.948502,92.948502,75964000
5/21/2019,93.739502,93.949997,92.300003,92.875999,92.875999,80102000
5/22/2019,92.588997,93.574501,92.550003,92.984001,92.984001,58732000
5/23/2019,91.829498,92.199997,90.209999,90.774002,90.774002,88486000
5/24/2019,91.794502,92.087997,90.892502,91.164001,91.164001,67394000
5/28/2019,91.637497,92.463501,91.3675,91.821503,91.821503,64000000
5/29/2019,91.155998,91.5,90.376503,90.959503,90.959503,85580000
5/30/2019,91.274498,91.473503,90.391502,90.816002,90.816002,62938000
5/31/2019,89.500504,89.779503,88.635002,88.753502,88.753502,92376000
6/3/2019,88.000504,88.314499,83.599998,84.634499,84.634499,181974000
6/4/2019,84.961998,86.541,84.044502,86.477997,86.477997,113582000
